[2023.09.07 13:33:58 - error] [parser] Parser module E:/wondertrader/src/QuoteFactory/parsers/ParserInsight.dll loading failed
[2023.09.07 13:35:25 - debug] processing order data of 113578.SH
[2023.09.07 13:35:25 - debug] processing order data of 113574.SH
[2023.09.07 13:35:25 - debug] processing transaction data of 113037.SH
[2023.09.07 13:35:25 - debug] processing order data of 113615.SH
[2023.09.07 13:35:25 - debug] processing order data of 113661.SH
[2023.09.07 13:35:25 - debug] processing order data of 113578.SH
[2023.09.07 13:35:25 - debug] processing order data of 113017.SH
[2023.09.07 13:35:25 - debug] processing order data of 113037.SH
[2023.09.07 13:35:25 - debug] processing transaction data of 113037.SH
[2023.09.07 13:35:25 - debug] processing transaction data of 300305.SZ
[2023.09.07 13:35:25 - debug] processing order data of 113578.SH
[2023.09.07 13:35:25 - debug] code: 300499, date: 20230907, exchg: SZSE, type:stock...........
[2023.09.07 13:35:25 - debug] processing order data of 113615.SH
[2023.09.07 13:35:25 - debug] processing order data of 113037.SH
[2023.09.07 13:35:25 - debug] processing transaction data of 113037.SH
[2023.09.07 13:35:25 - debug] processing order data of 113578.SH
[2023.09.07 13:35:25 - debug] code: 300529, date: 20230907, exchg: SZSE, type:stock...........
[2023.09.07 13:35:25 - debug] code: 601398, date: 20230907, exchg: SSE, type:stock...........
[2023.09.07 13:35:25 - debug] processing order data of 113043.SH
[2023.09.07 13:35:25 - debug] processing order data of 113037.SH
[2023.09.07 13:35:25 - debug] processing order data of 113578.SH
[2023.09.07 13:35:25 - debug] processing order data of 000811.SZ
[2023.09.07 13:35:25 - debug] processing transaction data of 002258.SZ
[2023.09.07 13:35:25 - debug] processing order data of 113043.SH
[2023.09.07 13:35:25 - debug] processing transaction data of 113037.SH
[2023.09.07 13:35:25 - debug] processing order data of 113578.SH
[2023.09.07 13:35:25 - debug] processing order data of 127018.SZ
[2023.09.07 13:35:25 - debug] processing order data of 113616.SH
[2023.09.07 13:35:25 - debug] code: 603883, date: 20230907, exchg: SSE, type:stock...........
[2023.09.07 13:35:25 - debug] processing order data of 113025.SH
[2023.09.07 13:35:25 - debug] processing order data of 113578.SH
[2023.09.07 13:35:25 - debug] code: 300532, date: 20230907, exchg: SZSE, type:stock...........
[2023.09.07 13:35:25 - debug] processing order data of 113061.SH
[2023.09.07 13:35:25 - debug] code: 603486, date: 20230907, exchg: SSE, type:stock...........
[2023.09.07 13:35:25 - debug] processing order data of 113025.SH
[2023.09.07 13:35:25 - debug] code: 300482, date: 20230907, exchg: SZSE, type:stock...........
[2023.09.07 13:35:25 - debug] processing transaction data of 113017.SH
[2023.09.07 13:35:25 - debug] processing order data of 113670.SH
[2023.09.07 13:35:25 - debug] processing order data of 002126.SZ
[2023.09.07 13:35:25 - debug] code: 300577, date: 20230907, exchg: SZSE, type:stock...........
[2023.09.07 13:35:25 - debug] processing order data of 113578.SH
[2023.09.07 13:35:25 - debug] processing order data of 123013.SZ
[2023.09.07 13:35:25 - debug] processing transaction data of 113061.SH
[2023.09.07 13:35:25 - debug] processing transaction data of 002126.SZ
[2023.09.07 13:35:25 - debug] processing order data of 000425.SZ
[2023.09.07 13:35:25 - debug] processing order data of 113578.SH
[2023.09.07 13:35:25 - debug] code: 300517, date: 20230907, exchg: SZSE, type:stock...........
[2023.09.07 13:35:25 - debug] processing order data of 113670.SH
[2023.09.07 13:35:25 - debug] code: 300613, date: 20230907, exchg: SZSE, type:stock...........
[2023.09.07 13:35:25 - debug] processing order data of 123059.SZ
[2023.09.07 13:35:25 - debug] processing order data of 300473.SZ
[2023.09.07 13:35:25 - debug] processing transaction data of 123013.SZ
[2023.09.07 13:35:25 - debug] processing order data of 113616.SH
[2023.09.07 13:35:25 - debug] processing order data of 002597.SZ
[2023.09.07 13:35:25 - debug] code: 600297, date: 20230907, exchg: SSE, type:stock...........
[2023.09.07 13:35:25 - debug] processing transaction data of 300473.SZ
[2023.09.07 13:35:25 - debug] processing order data of 123013.SZ
[2023.09.07 13:35:25 - debug] processing order data of 113670.SH
[2023.09.07 13:35:25 - debug] code: 300580, date: 20230907, exchg: SZSE, type:stock...........
[2023.09.07 13:35:25 - debug] code: 300611, date: 20230907, exchg: SZSE, type:stock...........
[2023.09.07 13:35:25 - debug] processing order data of 300433.SZ
[2023.09.07 13:35:25 - debug] processing order data of 113632.SH
[2023.09.07 13:35:25 - debug] processing order data of 127033.SZ
[2023.09.07 13:35:25 - debug] processing order data of 300580.SZ
[2023.09.07 13:35:25 - debug] code: 300624, date: 20230907, exchg: SZSE, type:stock...........
[2023.09.07 13:35:25 - debug] processing order data of 113578.SH
[2023.09.07 13:35:25 - debug] processing order data of 002540.SZ
[2023.09.07 13:35:25 - debug] processing transaction data of 127033.SZ
[2023.09.07 13:35:25 - debug] code: 300587, date: 20230907, exchg: SZSE, type:stock...........
[2023.09.07 13:35:25 - debug] processing order data of 128041.SZ
[2023.09.07 13:35:25 - debug] processing order data of 113578.SH
[2023.09.07 13:35:25 - debug] code: 300527, date: 20230907, exchg: SZSE, type:stock...........
[2023.09.07 13:35:25 - debug] processing order data of 127033.SZ
[2023.09.07 13:35:25 - debug] code: 300607, date: 20230907, exchg: SZSE, type:stock...........
[2023.09.07 13:35:25 - debug] processing transaction data of 128041.SZ
[2023.09.07 13:35:25 - debug] code: 300511, date: 20230907, exchg: SZSE, type:stock...........
[2023.09.07 13:35:25 - debug] code: 300554, date: 20230907, exchg: SZSE, type:stock...........
[2023.09.07 13:35:25 - debug] processing order data of 123187.SZ
[2023.09.07 13:35:25 - debug] code: 300605, date: 20230907, exchg: SZSE, type:stock...........
[2023.09.07 13:35:25 - debug] code: 300655, date: 20230907, exchg: SZSE, type:stock...........
[2023.09.07 13:35:25 - debug] code: 300498, date: 20230907, exchg: SZSE, type:stock...........
[2023.09.07 13:35:25 - debug] code: 300545, date: 20230907, exchg: SZSE, type:stock...........
[2023.09.07 13:35:25 - debug] processing transaction data of 127033.SZ
[2023.09.07 13:35:25 - debug] processing order data of 300613.SZ
[2023.09.07 13:35:25 - debug] processing order data of 128041.SZ
[2023.09.07 13:35:25 - debug] processing order data of 123178.SZ
[2023.09.07 13:35:25 - debug] processing order data of 002381.SZ
[2023.09.07 13:35:25 - debug] processing order data of 127033.SZ
[2023.09.07 13:35:25 - debug] processing order data of 300607.SZ
[2023.09.07 13:35:25 - debug] processing order data of 300655.SZ
[2023.09.07 13:35:25 - debug] processing order data of 300511.SZ
[2023.09.07 13:35:25 - debug] processing transaction data of 002381.SZ
[2023.09.07 13:35:25 - debug] processing order data of 110061.SH
[2023.09.07 13:35:25 - debug] processing transaction data of 300607.SZ
[2023.09.07 13:35:25 - debug] processing order data of 002225.SZ
[2023.09.07 13:35:25 - debug] processing order data of 002436.SZ
[2023.09.07 13:35:25 - debug] code: 300568, date: 20230907, exchg: SZSE, type:stock...........
[2023.09.07 13:35:25 - debug] code: 300483, date: 20230907, exchg: SZSE, type:stock...........
[2023.09.07 13:35:25 - debug] processing order data of 300607.SZ
[2023.09.07 13:35:25 - debug] code: 300709, date: 20230907, exchg: SZSE, type:stock...........
[2023.09.07 13:35:25 - debug] processing transaction data of 300511.SZ
[2023.09.07 13:35:25 - debug] code: 300543, date: 20230907, exchg: SZSE, type:stock...........
[2023.09.07 13:35:25 - debug] processing order data of 113626.SH
[2023.09.07 13:35:25 - debug] processing transaction data of 300607.SZ
[2023.09.07 13:35:25 - debug] code: 300651, date: 20230907, exchg: SZSE, type:stock...........
[2023.09.07 13:35:25 - debug] processing transaction data of 300511.SZ
[2023.09.07 13:35:25 - debug] processing order data of 300687.SZ
[2023.09.07 13:35:25 - debug] processing order data of 113626.SH
[2023.09.07 13:35:25 - debug] processing order data of 300607.SZ
[2023.09.07 13:35:25 - debug] processing order data of 300624.SZ
[2023.09.07 13:35:25 - debug] processing transaction data of 300511.SZ
[2023.09.07 13:35:25 - debug] processing order data of 128081.SZ
[2023.09.07 13:35:25 - debug] processing order data of 113626.SH
[2023.09.07 13:35:25 - debug] processing transaction data of 300607.SZ
[2023.09.07 13:35:25 - debug] processing order data of 300624.SZ
[2023.09.07 13:35:25 - debug] processing order data of 300416.SZ
[2023.09.07 13:35:25 - debug] processing order data of 123013.SZ
[2023.09.07 13:35:25 - debug] processing transaction data of 127033.SZ
[2023.09.07 13:35:25 - debug] processing order data of 300607.SZ
[2023.09.07 13:35:25 - debug] processing transaction data of 300624.SZ
[2023.09.07 13:35:25 - debug] processing order data of 113647.SH
[2023.09.07 13:35:25 - debug] code: 300586, date: 20230907, exchg: SZSE, type:stock...........
[2023.09.07 13:35:25 - debug] processing transaction data of 127033.SZ
[2023.09.07 13:35:25 - debug] processing transaction data of 300607.SZ
[2023.09.07 13:35:25 - debug] code: 300700, date: 20230907, exchg: SZSE, type:stock...........
[2023.09.07 13:35:25 - debug] processing order data of 300416.SZ
[2023.09.07 13:35:25 - debug] processing order data of 002772.SZ
[2023.09.07 13:35:25 - debug] processing order data of 113615.SH
[2023.09.07 13:35:25 - debug] processing order data of 300607.SZ
[2023.09.07 13:35:25 - debug] processing order data of 002174.SZ
[2023.09.07 13:35:25 - debug] processing order data of 111008.SH
[2023.09.07 13:35:25 - debug] processing transaction data of 300687.SZ
[2023.09.07 13:35:25 - debug] processing order data of 113615.SH
[2023.09.07 13:35:25 - debug] processing transaction data of 300607.SZ
[2023.09.07 13:35:25 - debug] processing order data of 128041.SZ
[2023.09.07 13:35:25 - debug] processing transaction data of 111008.SH
[2023.09.07 13:35:25 - debug] code: 300618, date: 20230907, exchg: SZSE, type:stock...........
[2023.09.07 13:35:25 - debug] processing order data of 113615.SH
[2023.09.07 13:35:25 - debug] processing order data of 300607.SZ
[2023.09.07 13:35:25 - debug] processing order data of 128041.SZ
[2023.09.07 13:35:25 - debug] processing order data of 111008.SH
[2023.09.07 13:35:25 - debug] processing transaction data of 002714.SZ
[2023.09.07 13:35:25 - debug] processing order data of 113615.SH
[2023.09.07 13:35:25 - debug] processing transaction data of 300607.SZ
[2023.09.07 13:35:25 - debug] code: 600185, date: 20230907, exchg: SSE, type:stock...........
[2023.09.07 13:35:25 - debug] processing order data of 113045.SH
[2023.09.07 13:35:25 - debug] processing transaction data of 002444.SZ
[2023.09.07 13:35:25 - debug] processing order data of 113615.SH
[2023.09.07 13:35:25 - debug] processing order data of 300607.SZ
[2023.09.07 13:35:25 - debug] processing order data of 002701.SZ
[2023.09.07 13:35:25 - debug] processing transaction data of 300511.SZ
[2023.09.07 13:35:25 - debug] code: 300601, date: 20230907, exchg: SZSE, type:stock...........
[2023.09.07 13:35:25 - debug] processing order data of 002709.SZ
[2023.09.07 13:35:25 - debug] processing transaction data of 300607.SZ
[2023.09.07 13:35:25 - debug] processing order data of 300607.SZ
[2023.09.07 13:35:25 - debug] processing transaction data of 300511.SZ
[2023.09.07 13:35:25 - debug] processing order data of 002444.SZ
[2023.09.07 13:35:25 - debug] processing order data of 113615.SH
[2023.09.07 13:35:25 - debug] processing transaction data of 002701.SZ
[2023.09.07 13:35:25 - debug] processing transaction data of 300607.SZ
[2023.09.07 13:35:25 - debug] processing order data of 300511.SZ
[2023.09.07 13:35:25 - debug] code: 300623, date: 20230907, exchg: SZSE, type:stock...........
[2023.09.07 13:35:25 - debug] processing order data of 113537.SH
[2023.09.07 13:35:25 - debug] code: 603112, date: 20230907, exchg: SSE, type:stock...........
[2023.09.07 13:35:25 - debug] processing order data of 300607.SZ
[2023.09.07 13:35:25 - debug] processing order data of 113057.SH
[2023.09.07 13:35:25 - debug] processing order data of 300623.SZ
[2023.09.07 13:35:25 - debug] processing order data of 113651.SH
[2023.09.07 13:35:25 - debug] processing order data of 603992.SH
[2023.09.07 13:35:25 - debug] processing transaction data of 300607.SZ
[2023.09.07 13:35:25 - debug] processing order data of 300511.SZ
[2023.09.07 13:35:25 - debug] processing transaction data of 300623.SZ
[2023.09.07 13:35:25 - debug] processing order data of 113651.SH
[2023.09.07 13:35:25 - debug] processing order data of 603992.SH
[2023.09.07 13:35:25 - debug] processing order data of 300607.SZ
[2023.09.07 13:35:25 - debug] processing order data of 300511.SZ
[2023.09.07 13:35:25 - debug] processing transaction data of 300623.SZ
[2023.09.07 13:35:25 - debug] processing order data of 113537.SH
[2023.09.07 13:35:25 - debug] processing transaction data of 601989.SH
[2023.09.07 13:35:25 - debug] processing transaction data of 300607.SZ
[2023.09.07 13:35:25 - debug] processing order data of 300511.SZ
[2023.09.07 13:35:25 - debug] processing transaction data of 300623.SZ
[2023.09.07 13:35:25 - debug] processing order data of 113537.SH
[2023.09.07 13:35:25 - debug] processing order data of 128132.SZ
[2023.09.07 13:35:25 - debug] processing order data of 300607.SZ
[2023.09.07 13:35:25 - debug] processing order data of 113045.SH
[2023.09.07 13:35:25 - debug] processing order data of 123018.SZ
